*** 2025-11-06  05:47:03 *** (restart)
FD : yesterday at 09:27 <=> yesterday at 16:37 : AG

*** 2025-11-06  05:47:55 ***
FD : ==:==  <=>  : ==:== AG

_*** 2025-11-06  05:48:45 ***_

_*** 2025-11-06  05:51:52 ***_

_*** 2025-11-06  05:54:58 ***_

_*** 2025-11-06  05:58:04 ***_

_*** 2025-11-06  06:01:10 ***_

_*** 2025-11-06  06:04:16 ***_

_*** 2025-11-06  06:07:22 ***_

_*** 2025-11-06  06:10:28 ***_

_*** 2025-11-06  06:13:34 ***_

_*** 2025-11-06  06:16:40 ***_

_*** 2025-11-06  06:19:46 ***_

_*** 2025-11-06  06:22:52 ***_

_*** 2025-11-06  06:25:58 ***_

_*** 2025-11-06  06:29:04 ***_

_*** 2025-11-06  06:32:10 ***_

_*** 2025-11-06  06:35:15 ***_

_*** 2025-11-06  06:38:21 ***_

_*** 2025-11-06  06:41:27 ***_

_*** 2025-11-06  06:44:33 ***_

_*** 2025-11-06  06:47:39 ***_

_*** 2025-11-06  06:50:45 ***_

_*** 2025-11-06  06:53:51 ***_

_*** 2025-11-06  06:56:57 ***_

_*** 2025-11-06  07:00:03 ***_

_*** 2025-11-06  07:03:09 ***_

_*** 2025-11-06  07:06:15 ***_

_*** 2025-11-06  07:09:21 ***_

_*** 2025-11-06  07:12:27 ***_

_*** 2025-11-06  07:15:33 ***_

_*** 2025-11-06  07:18:39 ***_

_*** 2025-11-06  07:21:44 ***_

_*** 2025-11-06  07:24:50 ***_

_*** 2025-11-06  07:27:56 ***_

_*** 2025-11-06  07:31:02 ***_

_*** 2025-11-06  07:34:08 ***_

_*** 2025-11-06  07:37:14 ***_

_*** 2025-11-06  07:40:20 ***_

_*** 2025-11-06  07:43:26 ***_

_*** 2025-11-06  07:46:32 ***_

_*** 2025-11-06  07:49:38 ***_

_*** 2025-11-06  07:52:44 ***_

_*** 2025-11-06  07:55:50 ***_

_*** 2025-11-06  07:58:56 ***_

_*** 2025-11-06  08:02:02 ***_

_*** 2025-11-06  08:05:08 ***_

*** 2025-11-06  08:08:14 ***
FD : ==:==  <=> online : AG

*** 2025-11-06  08:09:03 ***
FD : ==:==  <=> online : AG

*** 2025-11-06  08:09:52 ***
FD : ==:==  <=> online : AG

*** 2025-11-06  08:10:42 ***
FD : ==:==  <=> online : AG

*** 2025-11-06  08:11:32 ***
FD : ==:==  <=> online : AG

*** 2025-11-06  08:12:21 ***
FD : ==:==  <=> online : AG

*** 2025-11-06  08:13:10 ***
FD : ==:==  <=> online : AG

*** 2025-11-06  08:14:00 ***
FD : ==:==  <=> online : AG

*** 2025-11-06  08:14:51 ***
FD : ==:==  <=> online : AG

