*** 2025-11-15  05:52:19 *** (restart)
FD : yesterday at 06:21 <=> yesterday at 19:53 : AG

_*** 2025-11-15  05:53:12 ***_

_*** 2025-11-15  05:56:19 ***_

_*** 2025-11-15  05:59:25 ***_

_*** 2025-11-15  06:02:31 ***_

_*** 2025-11-15  06:05:37 ***_

_*** 2025-11-15  06:08:43 ***_

_*** 2025-11-15  06:11:49 ***_

_*** 2025-11-15  06:14:55 ***_

_*** 2025-11-15  06:18:01 ***_

_*** 2025-11-15  06:21:07 ***_

_*** 2025-11-15  06:24:13 ***_

_*** 2025-11-15  06:27:19 ***_

_*** 2025-11-15  06:30:25 ***_

_*** 2025-11-15  06:33:31 ***_

_*** 2025-11-15  06:36:37 ***_

_*** 2025-11-15  06:39:43 ***_

_*** 2025-11-15  06:42:49 ***_

_*** 2025-11-15  06:45:55 ***_

_*** 2025-11-15  06:49:01 ***_

_*** 2025-11-15  06:52:07 ***_

_*** 2025-11-15  06:55:13 ***_

_*** 2025-11-15  06:58:19 ***_

_*** 2025-11-15  07:01:25 ***_

_*** 2025-11-15  07:04:31 ***_

_*** 2025-11-15  07:07:37 ***_

_*** 2025-11-15  07:10:43 ***_

_*** 2025-11-15  07:13:49 ***_

_*** 2025-11-15  07:16:54 ***_

_*** 2025-11-15  07:20:00 ***_

_*** 2025-11-15  07:23:06 ***_

_*** 2025-11-15  07:26:12 ***_

_*** 2025-11-15  07:29:18 ***_

_*** 2025-11-15  07:32:24 ***_

_*** 2025-11-15  07:35:30 ***_

_*** 2025-11-15  07:38:36 ***_

_*** 2025-11-15  07:41:42 ***_

_*** 2025-11-15  07:44:48 ***_

_*** 2025-11-15  07:47:54 ***_

_*** 2025-11-15  07:51:00 ***_

_*** 2025-11-15  07:54:06 ***_

_*** 2025-11-15  07:57:12 ***_

_*** 2025-11-15  08:00:18 ***_

_*** 2025-11-15  08:03:24 ***_

_*** 2025-11-15  08:06:30 ***_

_*** 2025-11-15  08:09:36 ***_

_*** 2025-11-15  08:12:42 ***_

_*** 2025-11-15  08:15:48 ***_

_*** 2025-11-15  08:18:54 ***_

_*** 2025-11-15  08:22:00 ***_

_*** 2025-11-15  08:25:06 ***_

*** 2025-11-15  08:28:12 ***
FD : ==:==  <=> online : AG

_*** 2025-11-15  08:29:02 ***_

_*** 2025-11-15  08:32:08 ***_

_*** 2025-11-15  08:35:15 ***_

