*** 2025-11-30  08:35:39 *** (restart)
FD : 1 hour ago <=> 11/28/2025 : AG

_*** 2025-11-30  08:36:33 ***_

_*** 2025-11-30  08:39:39 ***_

_*** 2025-11-30  08:42:45 ***_

_*** 2025-11-30  08:45:52 ***_

*** 2025-11-30  08:48:58 ***
FD : 2 hours ago <=>  ==:== AG

_*** 2025-11-30  08:49:48 ***_

_*** 2025-11-30  08:52:54 ***_

_*** 2025-11-30  08:56:00 ***_

_*** 2025-11-30  08:59:06 ***_

_*** 2025-11-30  09:02:12 ***_

_*** 2025-11-30  09:05:18 ***_

_*** 2025-11-30  09:08:24 ***_

_*** 2025-11-30  09:11:30 ***_

_*** 2025-11-30  09:14:36 ***_

_*** 2025-11-30  09:17:42 ***_

_*** 2025-11-30  09:20:48 ***_

_*** 2025-11-30  09:23:54 ***_

_*** 2025-11-30  09:27:00 ***_

_*** 2025-11-30  09:30:06 ***_

_*** 2025-11-30  09:33:12 ***_

_*** 2025-11-30  09:36:17 ***_

_*** 2025-11-30  09:39:23 ***_

_*** 2025-11-30  09:42:29 ***_

_*** 2025-11-30  09:45:35 ***_

*** 2025-11-30  09:48:41 ***
FD : 3 hours ago <=>  ==:== AG

_*** 2025-11-30  09:49:31 ***_

_*** 2025-11-30  09:52:37 ***_

_*** 2025-11-30  09:55:43 ***_

_*** 2025-11-30  09:58:49 ***_

_*** 2025-11-30  10:01:55 ***_

_*** 2025-11-30  10:05:01 ***_

_*** 2025-11-30  10:08:07 ***_

_*** 2025-11-30  10:11:12 ***_

_*** 2025-11-30  10:14:18 ***_

_*** 2025-11-30  10:17:24 ***_

_*** 2025-11-30  10:20:30 ***_

_*** 2025-11-30  10:23:36 ***_

_*** 2025-11-30  10:26:42 ***_

_*** 2025-11-30  10:29:48 ***_

_*** 2025-11-30  10:32:54 ***_

_*** 2025-11-30  10:36:00 ***_

_*** 2025-11-30  10:39:06 ***_

_*** 2025-11-30  10:42:12 ***_

_*** 2025-11-30  10:45:18 ***_

_*** 2025-11-30  10:48:24 ***_

*** 2025-11-30  10:51:30 ***
FD : 4 hours ago <=>  ==:== AG

_*** 2025-11-30  10:52:19 ***_

_*** 2025-11-30  10:55:26 ***_

_*** 2025-11-30  10:58:32 ***_

*** 2025-11-30  11:00:31 *** (restart)
FD : 4 hours ago <=> 11/28/2025 : AG

_*** 2025-11-30  11:01:23 ***_

_*** 2025-11-30  11:04:30 ***_

_*** 2025-11-30  11:07:36 ***_

_*** 2025-11-30  11:10:42 ***_

_*** 2025-11-30  11:13:48 ***_

_*** 2025-11-30  11:16:54 ***_

_*** 2025-11-30  11:20:00 ***_

_*** 2025-11-30  11:23:06 ***_

_*** 2025-11-30  11:26:12 ***_

_*** 2025-11-30  11:29:18 ***_

_*** 2025-11-30  11:32:24 ***_

_*** 2025-11-30  11:35:30 ***_

_*** 2025-11-30  11:38:36 ***_

_*** 2025-11-30  11:41:42 ***_

_*** 2025-11-30  11:44:48 ***_

_*** 2025-11-30  11:47:54 ***_

*** 2025-11-30  11:51:00 ***
FD : 5 hours ago <=>  ==:== AG

_*** 2025-11-30  11:51:50 ***_

_*** 2025-11-30  11:54:56 ***_

_*** 2025-11-30  11:58:02 ***_

_*** 2025-11-30  12:01:08 ***_

_*** 2025-11-30  12:04:14 ***_

_*** 2025-11-30  12:07:20 ***_

_*** 2025-11-30  12:10:26 ***_

_*** 2025-11-30  12:13:32 ***_

_*** 2025-11-30  12:16:38 ***_

_*** 2025-11-30  12:19:44 ***_

_*** 2025-11-30  12:22:50 ***_

_*** 2025-11-30  12:25:56 ***_

_*** 2025-11-30  12:29:02 ***_

_*** 2025-11-30  12:32:08 ***_

_*** 2025-11-30  12:35:15 ***_

_*** 2025-11-30  12:38:21 ***_

_*** 2025-11-30  12:41:27 ***_

_*** 2025-11-30  12:44:33 ***_

_*** 2025-11-30  12:47:39 ***_

*** 2025-11-30  12:50:45 ***
FD : today at 06:48 <=>  ==:== AG

_*** 2025-11-30  12:51:35 ***_

*** 2025-11-30  12:54:41 ***
FD : ==:==  <=> online : AG

_*** 2025-11-30  12:55:30 ***_

_*** 2025-11-30  12:58:36 ***_

_*** 2025-11-30  13:01:42 ***_

_*** 2025-11-30  13:04:48 ***_

_*** 2025-11-30  13:07:54 ***_

_*** 2025-11-30  13:11:00 ***_

_*** 2025-11-30  13:14:06 ***_

_*** 2025-11-30  13:17:12 ***_

_*** 2025-11-30  13:20:18 ***_

_*** 2025-11-30  13:23:24 ***_

_*** 2025-11-30  13:26:30 ***_

_*** 2025-11-30  13:29:36 ***_

_*** 2025-11-30  13:32:42 ***_

_*** 2025-11-30  13:35:48 ***_

_*** 2025-11-30  13:38:54 ***_

_*** 2025-11-30  13:42:00 ***_

_*** 2025-11-30  13:45:06 ***_

_*** 2025-11-30  13:48:12 ***_

_*** 2025-11-30  13:51:18 ***_

_*** 2025-11-30  13:54:23 ***_

_*** 2025-11-30  13:57:29 ***_

_*** 2025-11-30  14:00:35 ***_

_*** 2025-11-30  14:03:41 ***_

_*** 2025-11-30  14:06:47 ***_

_*** 2025-11-30  14:09:53 ***_

_*** 2025-11-30  14:12:59 ***_

_*** 2025-11-30  14:16:05 ***_

_*** 2025-11-30  14:19:11 ***_

_*** 2025-11-30  14:22:17 ***_

*** 2025-11-30  14:25:23 ***
FD : ==:==  <=> 1 hour ago : AG

_*** 2025-11-30  14:26:13 ***_

_*** 2025-11-30  14:29:19 ***_

_*** 2025-11-30  14:32:25 ***_

_*** 2025-11-30  14:35:31 ***_

_*** 2025-11-30  14:38:37 ***_

_*** 2025-11-30  14:41:43 ***_

_*** 2025-11-30  14:44:49 ***_

_*** 2025-11-30  14:47:55 ***_

_*** 2025-11-30  14:51:01 ***_

_*** 2025-11-30  14:54:07 ***_

_*** 2025-11-30  14:57:13 ***_

*** 2025-11-30  15:00:19 ***
FD : ==:==  <=> 2 hours ago : AG

_*** 2025-11-30  15:01:08 ***_

_*** 2025-11-30  15:04:14 ***_

_*** 2025-11-30  15:07:20 ***_

_*** 2025-11-30  15:10:26 ***_

_*** 2025-11-30  15:13:32 ***_

_*** 2025-11-30  15:16:38 ***_

_*** 2025-11-30  15:19:44 ***_

_*** 2025-11-30  15:22:50 ***_

_*** 2025-11-30  15:25:56 ***_

_*** 2025-11-30  15:29:02 ***_

_*** 2025-11-30  15:32:08 ***_

_*** 2025-11-30  15:35:14 ***_

_*** 2025-11-30  15:38:20 ***_

